8159	Trends in cognitive sciences	Miao-Kun Sun	2012
7156	The poetics of space	Gaston Bachelard;M. Jolas;Mark Z. Danielewski;Richard Kearney	2014
4678	The Embodied Mind: Cognitive Science and Human Experience	Francisco J. Varela;Evan Thompson;Eleanor Rosch	1992
4057	Public and Private Self-Consciousness: Assessment and Theory	Allan Fenigstein,University of Texas at Austin|||University of Texas at Austin|||U Texas, Austin|||U Texas, Austin;Michael F. Scheier,University of Texas at Austin|||University of Texas at Austin;Arnold H. Buss,University of Texas at Austin|||University of Texas at Austin	1975
3993	Mindfulness Training as a Clinical Intervention: A Conceptual and Empirical Review	Ruth A. Baer,University of Kentucky	2006
3976	Mindfulness Training as a Clinical Intervention: A Conceptual and Empirical Review	Ruth A. Baer,University of Kentucky	2003
3276	Using Self-Report Assessment Methods to Explore Facets of Mindfulness	Ruth A. Baer,University of Kentucky|||University of Kentucky;Gregory T. Smith,University of Kentucky|||University of Kentucky;Jaclyn Hopkins,University of Kentucky|||University of Kentucky;Jennifer Krietemeyer,University of Kentucky|||University of Kentucky;Leslie Toney,University of Kentucky|||University of Kentucky	2006
3201	Mindfulness-based stress reduction and health benefits. A meta-analysis.	Paul Grossman,Freiburg Institute for Mindfulness Research, Konradstr. 32, 79100, Freiburg, Germany;Ludger Niemann,Department of Psychology, University of Freiburg, Freiburg, Germany;Stefan Schmidt,Institute of Environmental Medicine, University Hospital Freiburg, Freiburg, Germany;Harald Walach,Institute of Environmental Medicine, University Hospital Freiburg, Freiburg, Germany|||Samueli Institute, European Office, Freiburg, Germany	2004
3140	The body in pain : the making and unmaking of the world	Elaine Scarry	1985
3088	The relaxation response.	Herbert Benson,Harvard Medical Unit, Thorndike Memorial LaboratoryBoston City Hospital818 Habrison Ave.Boston, Mass.02118;John F. Beary,Harvard Medical Unit, Thorndike Memorial LaboratoryBoston City Hospital818 Habrison Ave.Boston, Mass.02118;Mark P. Carol,Harvard Medical Unit, Thorndike Memorial LaboratoryBoston City Hospital818 Habrison Ave.Boston, Mass.02118	1974
3073	Alterations in Brain and Immune Function Produced by Mindfulness Meditation	Richard J. Davidson;Jon Kabat-Zinn;Jessica R. Schumacher;Melissa A. Rosenkranz;D. Muller;S. Santorelli;Ferris Urbanowski;Anne Harrington;Katherine Bonus;John F. Sheridan	2003
2780	Mindfulness-Based Interventions in Context: Past, Present, and Future	Jon Kabat-Zinn,University of Massachusetts Medical School For Francisco Varela, 1945–2001;For Francisco Varela	2006
2745	Mindfulness-based stress reduction and health benefits. A meta-analysis.	Paul Grossman,Freiburg Institute for Mindfulness Research, Konradstr. 32, 79100, Freiburg, Germany;Ludger Niemann,Department of Psychology, University of Freiburg, Freiburg, Germany;Stefan Schmidt,Institute of Environmental Medicine, University Hospital Freiburg, Freiburg, Germany;Harald Walach,Samueli Institute, European Office, Freiburg, Germany	2004
